contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDateCalls
SPY260116C00460000,2024-12-12 16:01:03+00:00,460.0,169.68,165.37,170.0,0.0,0.0,1.0,142,0.3529422616577148,True,REGULAR,USD,2026-01-16
SPY260116C00465000,2024-12-06 17:32:50+00:00,465.0,166.59,160.97,165.5,0.0,0.0,2.0,390,0.34715923843383784,True,REGULAR,USD,2026-01-16
SPY260116C00470000,2024-12-13 19:13:17+00:00,470.0,158.93,156.59,161.0,-2.9600067,-1.8284062,1.0,420,0.34133043930053714,True,REGULAR,USD,2026-01-16
SPY260116C00475000,2024-12-13 14:30:01+00:00,475.0,156.28,152.22,156.5,-1.4100037,-0.89416176,1.0,832,0.3354711228942871,True,REGULAR,USD,2026-01-16
SPY260116C00480000,2024-12-13 15:08:16+00:00,480.0,150.82,147.88,152.5,-0.269989,-0.17869416,1.0,1215,0.3323736196899414,True,REGULAR,USD,2026-01-16
SPY260116C00485000,2024-12-13 15:06:06+00:00,485.0,147.0,144.6,148.0,-0.11000061,-0.07477439,2.0,3395,0.32637697555541995,True,REGULAR,USD,2026-01-16
SPY260116C00490000,2024-12-12 20:26:16+00:00,490.0,142.02,139.26,143.5,0.0,0.0,4.0,830,0.32031929687499994,True,REGULAR,USD,2026-01-16
SPY260116C00495000,2024-12-06 14:37:16+00:00,495.0,140.72,134.98,139.5,0.0,0.0,5.0,551,0.31690136230468746,True,REGULAR,USD,2026-01-16
SPY260116C00500000,2024-12-13 17:59:42+00:00,500.0,131.73,130.73,135.0,-3.0,-2.2266757,4.0,1675,0.31070635589599604,True,REGULAR,USD,2026-01-16
SPY260116C00505000,2024-12-13 18:34:07+00:00,505.0,128.69,126.51,131.0,-4.3099976,-3.2405994,1.0,750,0.30704428314208976,True,REGULAR,USD,2026-01-16
SPY260116C00510000,2024-12-11 15:52:01+00:00,510.0,127.04,122.32,127.0,0.0,0.0,2.0,661,0.30324488265991206,True,REGULAR,USD,2026-01-16
SPY260116C00515000,2024-12-13 20:42:22+00:00,515.0,121.0,118.15,122.5,0.26000214,0.21534052,6.0,486,0.29682862602233884,True,REGULAR,USD,2026-01-16
SPY260116C00520000,2024-12-13 20:56:18+00:00,520.0,115.9,114.01,118.5,-0.7799988,-0.668494,9.0,1804,0.29280034599304183,True,REGULAR,USD,2026-01-16
SPY260116C00525000,2024-12-12 20:49:03+00:00,525.0,113.4,109.91,114.5,0.0,0.0,8.0,1878,0.2886347382354736,True,REGULAR,USD,2026-01-16
SPY260116C00530000,2024-12-13 19:10:45+00:00,530.0,108.08,108.0,110.5,-1.909996,-1.736518,3.0,2345,0.28433180274963377,True,REGULAR,USD,2026-01-16
SPY260116C00535000,2024-12-13 18:46:06+00:00,535.0,104.34,101.79,106.5,-2.0800018,-1.9545217,8.0,3720,0.2798991688537597,True,REGULAR,USD,2026-01-16
SPY260116C00540000,2024-12-12 19:26:03+00:00,540.0,100.13,97.79,102.5,-1.0699997,-1.057312,4.0,5139,0.2753292072296143,True,REGULAR,USD,2026-01-16
SPY260116C00545000,2024-12-13 19:27:55+00:00,545.0,96.75,95.41,98.5,-0.05000305,-0.051656045,3.0,3831,0.2706219178771973,True,REGULAR,USD,2026-01-16
SPY260116C00550000,2024-12-13 18:02:01+00:00,550.0,91.79,89.89,94.5,-0.7999954,-0.8640193,22.0,5182,0.26577730079650885,True,REGULAR,USD,2026-01-16
SPY260116C00555000,2024-12-11 19:17:41+00:00,555.0,87.53,85.99,90.5,-3.8600006,-4.2236576,2.0,2720,0.2607953559875488,True,REGULAR,USD,2026-01-16
SPY260116C00560000,2024-12-12 16:50:33+00:00,560.0,85.69,82.14,86.5,0.0,0.0,4.0,1731,0.2556684541320801,True,REGULAR,USD,2026-01-16
SPY260116C00565000,2024-12-13 20:43:02+00:00,565.0,81.62,78.32,83.0,-2.6800003,-3.1791224,1.0,610,0.2525404336547852,True,REGULAR,USD,2026-01-16
SPY260116C00570000,2024-12-13 17:21:51+00:00,570.0,76.85,74.55,79.0,-0.44000244,-0.56928766,4.0,1034,0.2470931004333496,True,REGULAR,USD,2026-01-16
SPY260116C00575000,2024-12-13 15:08:16+00:00,575.0,72.57,70.83,75.5,-3.2699966,-4.3117046,6.0,650,0.24357598472595213,True,REGULAR,USD,2026-01-16
SPY260116C00580000,2024-12-13 20:26:55+00:00,580.0,69.44,67.15,71.5,-1.3299942,-1.8793193,6.0,963,0.23778533218383785,True,REGULAR,USD,2026-01-16
SPY260116C00585000,2024-12-13 15:57:02+00:00,585.0,64.36,63.52,68.0,-3.6800003,-5.4085836,3.0,437,0.23387912124633786,True,REGULAR,USD,2026-01-16
SPY260116C00590000,2024-12-12 21:10:47+00:00,590.0,62.5,59.95,64.5,0.0,0.0,1.0,1171,0.22975166007995604,True,REGULAR,USD,2026-01-16
SPY260116C00595000,2024-12-13 17:41:30+00:00,595.0,57.99,56.43,61.0,-1.0099983,-1.7118616,1.0,1486,0.22541057800292968,True,REGULAR,USD,2026-01-16
SPY260116C00600000,2024-12-13 20:54:16+00:00,600.0,55.75,54.0,57.5,-0.099998474,-0.1790483,39.0,3709,0.22084061637878416,True,REGULAR,USD,2026-01-16
SPY260116C00605000,2024-12-13 18:11:29+00:00,605.0,52.0,51.0,54.5,-0.40000153,-0.7633617,14.0,1410,0.2180253979492187,False,REGULAR,USD,2026-01-16
SPY260116C00610000,2024-12-13 20:15:02+00:00,610.0,49.05,46.3,51.0,-0.86999893,-1.7427864,5.0,4605,0.21295953063964845,False,REGULAR,USD,2026-01-16
SPY260116C00615000,2024-12-13 16:25:24+00:00,615.0,45.5,43.08,48.0,-2.5,-5.208333,27.0,2309,0.20961788925170893,False,REGULAR,USD,2026-01-16
SPY260116C00620000,2024-12-13 20:43:06+00:00,620.0,43.1,39.95,44.5,-0.3900032,-0.8967652,71.0,2864,0.20401034034729001,False,REGULAR,USD,2026-01-16
SPY260116C00625000,2024-12-13 15:46:04+00:00,625.0,39.37,39.2,41.5,-0.59000015,-1.4764769,2.0,2100,0.20009650009155272,False,REGULAR,USD,2026-01-16
SPY260116C00630000,2024-12-13 21:01:34+00:00,630.0,36.61,34.0,38.99,-1.2599983,-3.3271675,3.0,1349,0.19782296325683596,False,REGULAR,USD,2026-01-16
SPY260116C00635000,2024-12-13 20:36:45+00:00,635.0,33.8,33.5,33.68,-1.25,-3.566334,9.0,1166,0.18399863861083982,False,REGULAR,USD,2026-01-16
SPY260116C00640000,2024-12-13 16:37:01+00:00,640.0,31.13,30.81,30.98,-0.40000153,-1.2686378,3.0,2887,0.18022975540161135,False,REGULAR,USD,2026-01-16
SPY260116C00645000,2024-12-13 20:37:37+00:00,645.0,28.53,28.22,28.4,-0.39999962,-1.3826464,7.0,1163,0.1765600533294678,False,REGULAR,USD,2026-01-16
SPY260116C00650000,2024-12-13 19:08:03+00:00,650.0,25.95,25.78,25.94,-0.45999908,-1.741761,7.0,3318,0.1729971617126465,False,REGULAR,USD,2026-01-16
SPY260116C00655000,2024-12-13 16:10:33+00:00,655.0,23.42,23.45,23.62,-0.70000076,-2.902159,17.0,826,0.1695944857788086,False,REGULAR,USD,2026-01-16
